                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.0827,                 1.5091,                 1.1758,                0.56445,                  0.624,                0.61205,                0.39716,                  1.197,                 1.9573,                 1.2833,               0.008911,               0.008911,               0.008911
                     46,                 1.0708,                 1.5854,                 1.1881,                0.57504,                 0.7708,                0.74933,                0.54167,                 1.0276,                 1.4457,                 1.1505,              0.0088863,              0.0088863,              0.0088863
                     47,                  1.022,                 1.5694,                 1.2135,                0.68854,                0.81368,                 0.7969,                0.56484,                 1.0434,                 1.3274,                 1.1755,              0.0088615,              0.0088615,              0.0088615
                     48,                0.98101,                  1.403,                 1.1131,                0.61462,                0.80274,                0.76292,                0.55774,                0.97156,                 1.4477,                 1.1383,              0.0088368,              0.0088368,              0.0088368
                     49,                 1.0491,                 1.6678,                  1.199,                0.66201,                 0.7644,                0.76356,                 0.5428,                  1.041,                 1.3571,                 1.1565,               0.008812,               0.008812,               0.008812
                     50,                  1.061,                 1.5756,                 1.1691,                 0.7563,                0.83101,                0.86559,                0.65399,                0.95914,                 1.1327,                 1.1044,              0.0087872,              0.0087872,              0.0087872
                     51,                 1.0129,                 1.4461,                  1.167,                0.64521,                 0.7789,                0.80346,                0.59628,                0.95777,                 1.4845,                 1.1161,              0.0087625,              0.0087625,              0.0087625
                     52,                  1.023,                 1.5599,                  1.158,                0.79215,                0.82573,                0.88836,                0.66308,                0.93574,                 1.1116,                 1.1006,              0.0087378,              0.0087378,              0.0087378
                     53,                0.93386,                 1.5082,                 1.1449,                0.70527,                0.80928,                0.85477,                0.61594,                0.97452,                 1.2442,                 1.1226,               0.008713,               0.008713,               0.008713
                     54,                0.96917,                  1.369,                 1.1287,                 0.7193,                0.82343,                0.87974,                0.64367,                 1.0096,                 1.1854,                 1.1347,              0.0086882,              0.0086882,              0.0086882
                     55,                 1.0145,                 1.3783,                 1.1513,                0.84926,                0.83059,                0.92838,                0.71353,                0.88646,                 1.0539,                 1.0712,              0.0086635,              0.0086635,              0.0086635
                     56,                0.96561,                 1.4162,                 1.1006,                0.89139,                0.86943,                0.94405,                0.70102,                0.92469,                0.98013,                 1.0995,              0.0086388,              0.0086388,              0.0086388
                     57,                 1.0214,                 1.3534,                 1.1305,                0.75139,                0.87971,                0.90822,                0.67713,                0.98613,                  1.129,                 1.1495,               0.008614,               0.008614,               0.008614
                     58,                0.99176,                 1.4785,                 1.1472,                0.84779,                0.82842,                 0.9208,                0.70187,                0.91337,                 1.0766,                 1.0872,              0.0085893,              0.0085893,              0.0085893
                     59,                0.94966,                 1.3753,                 1.1306,                0.87131,                0.90714,                0.95634,                0.74099,                0.84294,                0.94049,                 1.0497,              0.0085645,              0.0085645,              0.0085645
                     60,                0.93437,                  1.325,                 1.1708,                0.86541,                0.91014,                0.95086,                0.75693,                0.79392,                0.91666,                 1.0151,              0.0085398,              0.0085398,              0.0085398
                     61,                 1.0635,                 1.3052,                 1.1155,                0.83426,                0.83553,                0.90428,                0.69816,                0.87089,                 1.0164,                 1.0395,               0.008515,               0.008515,               0.008515
                     62,                 1.0248,                 1.4168,                 1.1608,                0.84318,                0.89657,                0.94274,                0.74649,                0.85697,                0.94443,                 1.0329,              0.0084903,              0.0084903,              0.0084903
                     63,                 0.9343,                 1.3091,                 1.0872,                0.86112,                0.89417,                 0.9559,                0.75431,                 0.7773,                0.84954,                 1.0191,              0.0084655,              0.0084655,              0.0084655
                     64,                0.88216,                 1.3393,                 1.0902,                0.83522,                0.88467,                0.95537,                0.77297,                0.73698,                0.91163,                0.99661,              0.0084408,              0.0084408,              0.0084408
                     65,                 0.9382,                  1.422,                 1.1322,                 0.7976,                0.92388,                 0.9541,                0.76026,                0.81944,                0.89784,                 1.0332,               0.008416,               0.008416,               0.008416
                     66,                0.89637,                 1.2863,                 1.1282,                0.91259,                0.91016,                0.96578,                0.78368,                0.71741,                0.84398,                0.97475,              0.0083913,              0.0083913,              0.0083913
                     67,                0.90398,                 1.3369,                 1.1174,                0.92381,                0.86722,                0.96737,                0.77515,                0.81617,                0.88034,                 1.0148,              0.0083665,              0.0083665,              0.0083665
                     68,                0.87555,                 1.2966,                 1.0838,                0.86932,                0.88756,                0.94711,                0.71811,                0.94798,                0.90196,                 1.0932,              0.0083418,              0.0083418,              0.0083418
                     69,                0.89425,                 1.2956,                 1.0946,                0.89302,                0.97207,                0.96862,                0.71947,                 1.0696,                0.84539,                 1.1664,               0.008317,               0.008317,               0.008317
                     70,                0.85498,                 1.1938,                 1.0772,                 0.9487,                0.94715,                0.96983,                0.75241,                 1.0261,                 0.8071,                 1.1436,              0.0082922,              0.0082922,              0.0082922
                     71,                0.90013,                 1.2092,                 1.1137,                 0.9154,                0.96348,                0.96971,                0.75336,                0.92545,                 0.7981,                 1.0842,              0.0082675,              0.0082675,              0.0082675
                     72,                0.92556,                 1.2959,                 1.1028,                0.93645,                 0.9696,                0.98616,                0.81178,                 0.7099,                0.73943,                0.97062,              0.0082428,              0.0082428,              0.0082428
                     73,                0.94711,                 1.2226,                 1.1399,                0.89746,                0.92772,                0.97271,                0.79603,                0.70195,                0.83593,                0.97638,               0.008218,               0.008218,               0.008218
                     74,                0.84748,                 1.2021,                 1.1116,                0.88313,                 0.9316,                0.96173,                0.79306,                0.68467,                 0.8502,                0.95759,              0.0081932,              0.0081932,              0.0081932
                     75,                0.90268,                 1.3839,                 1.1542,                0.96641,                0.97119,                0.99175,                0.82639,                0.64378,                0.72856,                0.95075,              0.0081685,              0.0081685,              0.0081685
                     76,                0.83727,                 1.1185,                 1.0538,                0.94911,                  0.975,                0.99135,                0.81382,                0.69778,                0.77183,                 0.9651,              0.0081437,              0.0081437,              0.0081437
                     77,                0.84419,                 1.2631,                 1.0682,                0.88241,                0.94406,                0.98057,                0.76335,                0.83389,                0.92745,                 1.0346,               0.008119,               0.008119,               0.008119
                     78,                0.91681,                 1.1791,                 1.1132,                0.94212,                 0.9726,                0.98838,                0.81376,                0.74514,                0.75587,                0.99765,              0.0080942,              0.0080942,              0.0080942
                     79,                0.83393,                  1.138,                 1.0812,                0.84092,                0.84941,                 0.9528,                 0.7645,                0.77057,                 0.9038,                 1.0103,              0.0080695,              0.0080695,              0.0080695
                     80,                0.84895,                 1.1294,                 1.0395,                0.84844,                0.81378,                0.93316,                0.72093,                0.86175,                 0.9081,                 1.0598,              0.0080447,              0.0080447,              0.0080447
                     81,                 0.8546,                  1.093,                 1.0627,                0.71293,                0.69528,                0.79328,                0.60576,                0.93097,                 1.3467,                 1.1134,                0.00802,                0.00802,                0.00802
                     82,                0.96949,                 1.3086,                 1.2162,                0.63785,                0.68534,                0.71975,                0.53897,                0.93181,                 1.6535,                 1.1049,              0.0079953,              0.0079953,              0.0079953
                     83,                0.86077,                 1.1487,                 1.0361,                0.81703,                0.73364,                 0.8703,                0.69004,                0.76224,                  1.113,                 1.0103,              0.0079705,              0.0079705,              0.0079705
                     84,                0.85301,                 1.0537,                 1.0885,                0.88185,                0.89917,                0.95842,                0.77753,                0.75434,                0.78228,                0.99379,              0.0079457,              0.0079457,              0.0079457
                     85,                0.91734,                 1.1079,                 1.0532,                 0.8851,                0.92428,                0.97213,                0.80012,                 0.7083,                0.77138,                0.96279,               0.007921,               0.007921,               0.007921
                     86,                0.82889,                 1.1421,                 1.1256,                0.95433,                 0.9435,                0.98649,                0.83055,                0.63555,                 0.6537,                0.93809,              0.0078963,              0.0078963,              0.0078963
